live_name,live_link,live_thumbnail,live_views,live_date,live_type,channel_thumbnail,channel_name,channel_link
/watch?v=9LsozO41xho,/watch?v=9LsozO41xho,not-found,17M views,7 months ago,Stream,https://i.ytimg.com/vi/9LsozO41xho/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBatJiIVy9DF6yOI-sZtQ7U87lHaQ,Daddy Yankee,/channel/UC9TO_oo4c_LrOiKNaY6aysA
/watch?v=64NsoH6kbu4,/watch?v=64NsoH6kbu4,not-found,15M views,4 months ago,Stream,https://i.ytimg.com/vi/64NsoH6kbu4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFiSUNRfzhj3zZeBuZdLjc5ZvkDw,Gusttavo Lima Oficial,/channel/UCXooz9whNJZBRTHi9AqdjPw
/watch?v=msfdz_aksY8,/watch?v=msfdz_aksY8,not-found,13M views,1 month ago,Stream,https://i.ytimg.com/vi/msfdz_aksY8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4xlSGtDTvSri8vEGACOcQdzOqyw,Eurovision Song Contest,/user/eurovision
/watch?v=xlMZmGGoi0U,/watch?v=xlMZmGGoi0U,not-found,13M views,4 weeks ago,Stream,https://i.ytimg.com/vi/xlMZmGGoi0U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1OlcbY0ve57d7mLC9qeUCZaZdyg,Wesley Safadão,/channel/UCciJLMuECsXuOyhA4FO48Sg
/watch?v=WdqMsq7658g,/watch?v=WdqMsq7658g,not-found,13M views,9 months ago,Other,not-found,Momento Sertanejo,/channel/UCXHtG3b3rGmK8NLY3_LsIJA
/watch?v=fabdRfuvgyg,/watch?v=fabdRfuvgyg,not-found,13M views,10 months ago,Other,not-found,FM O DIA,/user/radiofmodia
/watch?v=SsLXJWm9IZU,/watch?v=SsLXJWm9IZU,not-found,10M views,3 months ago,Stream,not-found,Gusttavo Lima Oficial,/channel/UCXooz9whNJZBRTHi9AqdjPw
/watch?v=tO7CCP7liwI,/watch?v=tO7CCP7liwI,not-found,10M views,11 months ago,Other,not-found,Coldplay,/channel/UCDPM_n1atn2ijUwHd0NNRQw
/watch?v=lj4dQka42ZQ,/watch?v=lj4dQka42ZQ,not-found,9.8M views,3 months ago,Stream,not-found,Wesley Safadão,/channel/UCciJLMuECsXuOyhA4FO48Sg
/watch?v=urJmq-u3tmc,/watch?v=urJmq-u3tmc,not-found,9.5M views,10 months ago,Other,not-found,Momento Sertanejo,/channel/UCXHtG3b3rGmK8NLY3_LsIJA
/watch?v=DWZIfsaIgtE,/watch?v=DWZIfsaIgtE,not-found,8.6M views,9 months ago,Stream,not-found,Minecraft,/user/TeamMojang
/watch?v=RTpWYWIfP7Y,/watch?v=RTpWYWIfP7Y,not-found,7.8M views,1 week ago,Stream,not-found,Virgin Galactic,/user/virgingalactic
/watch?v=yZBBqXG129Q,/watch?v=yZBBqXG129Q,not-found,6.8M views,7 months ago,Stream,not-found,Michou,/channel/UCo3i0nUzZjjLuM7VjAVz4zA
/watch?v=NUSjkXvKOKc,/watch?v=NUSjkXvKOKc,not-found,6.6M views,8 months ago,Other,not-found,Momento Sertanejo,/channel/UCXHtG3b3rGmK8NLY3_LsIJA
/watch?v=wx1WbyBs_Hg,/watch?v=wx1WbyBs_Hg,not-found,6.5M views,2 months ago,Stream,not-found,Xand Avião,/channel/UCfuRRJ76VluLiHW2pqwZNwg
/watch?v=rmocMMCXguo,/watch?v=rmocMMCXguo,not-found,5.6M views,2 weeks ago,Stream,not-found,Total Gaming,/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
/watch?v=2BPk_Uw3Kf4,/watch?v=2BPk_Uw3Kf4,not-found,5.3M views,2 weeks ago,Stream,not-found,NOW UNITED,/channel/UColnnUYyz7CWjhzpF1kASnw
/watch?v=gW_76tYGEaY,/watch?v=gW_76tYGEaY,not-found,5.2M views,3 months ago,Stream,not-found,Zé Vaqueiro,/channel/UCF1QpivnnDnbM85kPbR-sWA
/watch?v=DGkmEfqGB-U,/watch?v=DGkmEfqGB-U,not-found,5.2M views,1 month ago,Stream,not-found,Zé Vaqueiro,/channel/UCF1QpivnnDnbM85kPbR-sWA
/watch?v=EUP5bWVFVtQ,/watch?v=EUP5bWVFVtQ,not-found,5.1M views,3 months ago,Stream,not-found,Leonardo,/channel/UC-kCNs2KVMx0WN-tfysYTIw
